ID,Soc_ID,Var_ID,Value,Code_ID,Comment,Source,sub_case,year,source_coded_data,admin_comment
1,SCCS1,Elevation,770.5085225,,,,,,,
2,SCCS2,Elevation,1146.313709,,,,,,,
3,SCCS3,Elevation,158.3395816,,,,,,,
4,SCCS4,Elevation,1050.433449,,,,,,,
5,SCCS5,Elevation,1680.269562,,,,,,,
6,SCCS6,Elevation,875.0457515,,,,,,,
7,SCCS7,Elevation,1228.933626,,,,,,,
8,SCCS8,Elevation,1026.743062,,,,,,,
9,SCCS9,Elevation,1320.193027,,,,,,,
10,SCCS10,Elevation,451.9252396,,,,,,,
11,SCCS11,Elevation,1467.02288,,,,,,,
12,SCCS12,Elevation,1154.083676,,,,,,,
13,SCCS13,Elevation,717.1634058,,,,,,,
14,SCCS14,Elevation,343.8233317,,,,,,,
15,SCCS15,Elevation,672.715888,,,,,,,
16,SCCS16,Elevation,171.1927008,,,,,,,
17,SCCS17,Elevation,69.67776489,,,,,,,
18,SCCS18,Elevation,136.0613835,,,,,,,
19,SCCS19,Elevation,250.6974991,,,,,,,
20,SCCS20,Elevation,85.96437176,,,,,,,
21,SCCS21,Elevation,33.30326518,,,,,,,
22,SCCS22,Elevation,325.3083142,,,,,,,
23,SCCS23,Elevation,206.4969174,,,,,,,
24,SCCS24,Elevation,276.2189125,,,,,,,
25,SCCS25,Elevation,442.0664407,,,,,,,
26,SCCS26,Elevation,656.931444,,,,,,,
27,SCCS27,Elevation,331.5446465,,,,,,,
28,SCCS28,Elevation,615.4487382,,,,,,,
29,SCCS29,Elevation,675.3965036,,,,,,,
30,SCCS30,Elevation,671.8419844,,,,,,,
31,SCCS31,Elevation,399.8861555,,,,,,,
32,SCCS32,Elevation,1504.964254,,,,,,,
33,SCCS33,Elevation,1807.381104,,,,,,,
34,SCCS34,Elevation,1202.091964,,,,,,,
35,SCCS35,Elevation,1395.608574,,,,,,,
36,SCCS36,Elevation,666.9142047,,,,,,,
37,SCCS37,Elevation,2034.185912,,,,,,,
38,SCCS38,Elevation,1175.209257,,,,,,,
39,SCCS39,Elevation,183.2408359,,,,,,,
40,SCCS40,Elevation,1087.325243,,,,,,,
41,SCCS41,Elevation,973.4009109,,,,,,,
42,SCCS42,Elevation,426.3241661,,,,,,,
43,SCCS43,Elevation,205.0317021,,,,,,,
44,SCCS44,Elevation,257.8952812,,,,,,,
45,SCCS45,Elevation,28.61935037,,,,,,,
46,SCCS46,Elevation,751.2404697,,,,,,,
47,SCCS47,Elevation,1109.528098,,,,,,,
48,SCCS48,Elevation,956.6248228,,,,,,,
49,SCCS49,Elevation,822.4881876,,,,,,,
50,SCCS50,Elevation,298.5865508,,,,,,,
51,SCCS51,Elevation,29.270093,,,,,,,
52,SCCS52,Elevation,564.0509259,,,,,,,
53,SCCS53,Elevation,58.35000745,,,,,,,
54,SCCS54,Elevation,160.1009217,,,,,,,
55,SCCS55,Elevation,1101.90991,,,,,,,
56,SCCS56,Elevation,1445.788498,,,,,,,
57,SCCS57,Elevation,999.3388582,,,,,,,
58,SCCS58,Elevation,1391.350676,,,,,,,
59,SCCS59,Elevation,228.5257573,,,,,,,
60,SCCS60,Elevation,423.2159254,,,,,,,
61,SCCS61,Elevation,721.5619261,,,,,,,
62,SCCS62,Elevation,82.62048034,,,,,,,
63,SCCS63,Elevation,76.37539742,,,,,,,
64,SCCS64,Elevation,4151.733346,,,,,,,
65,SCCS65,Elevation,2629.101667,,,,,,,
66,SCCS66,Elevation,1769.411714,,,,,,,
67,SCCS67,Elevation,2081.638648,,,,,,,
68,SCCS68,Elevation,2794.578261,,,,,,,
69,SCCS69,Elevation,725.3393638,,,,,,,
70,SCCS70,Elevation,1060.449908,,,,,,,
71,SCCS71,Elevation,134.2842296,,,,,,,
72,SCCS72,Elevation,697.9168809,,,,,,,
73,SCCS73,Elevation,10.19356963,,,,,,,
74,SCCS74,Elevation,596.7896224,,,,,,,
75,SCCS75,Elevation,41.33211253,,,,,,,
76,SCCS76,Elevation,7.461634376,,,,,,,
77,SCCS77,Elevation,587.146524,,,,,,,
78,SCCS78,Elevation,8.620540847,,,,,,,
79,SCCS79,Elevation,1.384133765,,,,,,,
80,SCCS80,Elevation,102.5200142,,,,,,,
81,SCCS81,Elevation,10.03863281,,,,,,,
82,SCCS82,Elevation,132.7427296,,,,,,,
83,SCCS83,Elevation,359.9110274,,,,,,,
84,SCCS84,Elevation,59.48131769,,,,,,,
85,SCCS85,Elevation,301.3901781,,,,,,,
86,SCCS86,Elevation,2.545860267,,,,,,,
87,SCCS87,Elevation,542.9485659,,,,,,,
88,SCCS88,Elevation,93.96063342,,,,,,,
89,SCCS89,Elevation,191.4678113,,,,,,,
90,SCCS90,Elevation,7.852466877,,,,,,,
91,SCCS91,Elevation,508.4260406,,,,,,,
92,SCCS92,Elevation,232.8578572,,,,,,,
93,SCCS93,Elevation,8.201527393,,,,,,,
94,SCCS94,Elevation,806.5178796,,,,,,,
95,SCCS95,Elevation,79.69712667,,,,,,,
96,SCCS96,Elevation,24.72194829,,,,,,,
97,SCCS97,Elevation,23.49997964,,,,,,,
98,SCCS98,Elevation,1.237124503,,,,,,,
99,SCCS99,Elevation,61.09261362,,,,,,,
100,SCCS100,Elevation,0.088512399,,,,,,,
101,SCCS101,Elevation,48.80788311,,,,,,,
102,SCCS102,Elevation,6.075929242,,,,,,,
103,SCCS103,Elevation,130.0438169,,,,,,,
104,SCCS104,Elevation,40.06967937,,,,,,,
105,SCCS105,Elevation,17.48050125,,,,,,,
106,SCCS106,Elevation,21.03094655,,,,,,,
107,SCCS107,Elevation,0.048975953,,,,,,,
108,SCCS108,Elevation,0.013632406,,,,,,,
109,SCCS109,Elevation,0.514104355,,,,,,,
110,SCCS110,Elevation,0.336301986,,,,,,,
111,SCCS111,Elevation,1.213586417,,,,,,,
112,SCCS112,Elevation,791.5325453,,,,,,,
113,SCCS113,Elevation,515.6854071,,,,,,,
114,SCCS114,Elevation,16.41609871,,,,,,,
115,SCCS115,Elevation,388.5614329,,,,,,,
116,SCCS116,Elevation,41.05909156,,,,,,,
117,SCCS117,Elevation,222.5501699,,,,,,,
118,SCCS118,Elevation,176.7201073,,,,,,,
119,SCCS119,Elevation,84.03638535,,,,,,,
120,SCCS120,Elevation,339.3783493,,,,,,,
121,SCCS121,Elevation,345.0480588,,,,,,,
122,SCCS122,Elevation,107.0482749,,,,,,,
123,SCCS123,Elevation,19.05275351,,,,,,,
124,SCCS124,Elevation,66.43620096,,,,,,,
125,SCCS125,Elevation,419.2611996,,,,,,,
126,SCCS126,Elevation,12.90899354,,,,,,,
127,SCCS127,Elevation,321.9455961,,,,,,,
128,SCCS128,Elevation,210.7982845,,,,,,,
129,SCCS129,Elevation,1376.605256,,,,,,,
130,SCCS130,Elevation,122.9807718,,,,,,,
131,SCCS131,Elevation,107.1401201,,,,,,,
132,SCCS132,Elevation,1371.424221,,,,,,,
133,SCCS133,Elevation,289.9366419,,,,,,,
134,SCCS134,Elevation,708.775518,,,,,,,
135,SCCS135,Elevation,412.392426,,,,,,,
136,SCCS136,Elevation,914.232732,,,,,,,
137,SCCS137,Elevation,1373.816377,,,,,,,
138,SCCS138,Elevation,1453.211911,,,,,,,
139,SCCS139,Elevation,1280.403379,,,,,,,
140,SCCS140,Elevation,798.5379458,,,,,,,
141,SCCS141,Elevation,569.7661938,,,,,,,
142,SCCS142,Elevation,789.0104898,,,,,,,
143,SCCS143,Elevation,357.8272391,,,,,,,
144,SCCS144,Elevation,229.0414066,,,,,,,
145,SCCS145,Elevation,184.0373376,,,,,,,
146,SCCS146,Elevation,75.84794085,,,,,,,
147,SCCS147,Elevation,881.5286822,,,,,,,
148,SCCS148,Elevation,1513.00633,,,,,,,
149,SCCS149,Elevation,2112.141041,,,,,,,
150,SCCS150,Elevation,1823.548909,,,,,,,
151,SCCS151,Elevation,872.3212644,,,,,,,
152,SCCS152,Elevation,667.0883457,,,,,,,
153,SCCS153,Elevation,1612.250082,,,,,,,
154,SCCS154,Elevation,135.7459382,,,,,,,
155,SCCS155,Elevation,1481.195292,,,,,,,
156,SCCS156,Elevation,0.013430198,,,,,,,
157,SCCS157,Elevation,409.0022502,,,,,,,
158,SCCS158,Elevation,115.213918,,,,,,,
159,SCCS159,Elevation,53.81142977,,,,,,,
160,SCCS160,Elevation,411.996407,,,,,,,
161,SCCS161,Elevation,73.0764176,,,,,,,
162,SCCS162,Elevation,7.969606046,,,,,,,
163,SCCS163,Elevation,371.9399212,,,,,,,
164,SCCS164,Elevation,123.7962262,,,,,,,
165,SCCS165,Elevation,238.9938542,,,,,,,
166,SCCS166,Elevation,276.2847185,,,,,,,
167,SCCS167,Elevation,206.5130927,,,,,,,
168,SCCS168,Elevation,890.2215043,,,,,,,
169,SCCS169,Elevation,512.8703343,,,,,,,
170,SCCS170,Elevation,378.9754301,,,,,,,
171,SCCS171,Elevation,3865.750051,,,,,,,
172,SCCS172,Elevation,334.2467435,,,,,,,
173,SCCS173,Elevation,216.4127154,,,,,,,
174,SCCS174,Elevation,474.4098809,,,,,,,
175,SCCS175,Elevation,322.4355063,,,,,,,
176,SCCS176,Elevation,430.4605752,,,,,,,
177,SCCS177,Elevation,564.0096916,,,,,,,
178,SCCS178,Elevation,449.1006891,,,,,,,
179,SCCS179,Elevation,235.4973156,,,,,,,
180,SCCS180,Elevation,998.6653611,,,,,,,
181,SCCS181,Elevation,339.2511239,,,,,,,
182,SCCS182,Elevation,90.89928307,,,,,,,
183,SCCS183,Elevation,50.55743102,,,,,,,
184,SCCS184,Elevation,190.2503976,,,,,,,
185,SCCS185,Elevation,780.0804888,,,,,,,
186,SCCS186,Elevation,35.70397339,,,,,,,
187,Aa1,Elevation,1024.89219,,,,,,,
188,Aa2,Elevation,2204.778224,,,,,,,
189,Aa3,Elevation,1032.856327,,,,,,,
190,Aa4,Elevation,1290.067165,,,,,,,
191,Aa5,Elevation,805.0753666,,,,,,,
192,Aa6,Elevation,1343.785994,,,,,,,
193,Aa7,Elevation,941.8764401,,,,,,,
194,Aa8,Elevation,1084.954077,,,,,,,
195,Aa9,Elevation,1665.35726,,,,,,,
196,Ab1,Elevation,1442.044548,,,,,,,
197,Ab10,Elevation,63.24467804,,,,,,,
198,Ab11,Elevation,445.1339961,,,,,,,
